plate,condition,well,mu_per_hr,R2,doubling_min
CellAI Tutorial,50%,A1,0.2665244568603341,0.9407139814033832,156.04133040364985
CellAI Tutorial,50%,B1,0.3318993199411649,0.9917055637677042,125.30556206312528
CellAI Tutorial,50%,C1,0.2549079130867386,0.9929740884211908,163.1523726744611
CellAI Tutorial,45%,A2,0.3183717332107393,0.9921980979364516,130.62978429076767
CellAI Tutorial,45%,B2,0.1917582172628448,0.9493855623423594,216.88160970223507
CellAI Tutorial,45%,C2,0.1469718148370682,0.9382011429808108,282.97147231734016
CellAI Tutorial,40%,A3,0.2602213501472509,0.9884715907969772,159.82097860172863
CellAI Tutorial,40%,B3,0.2301604251273349,0.9618978404017612,180.69496878356884
CellAI Tutorial,40%,C3,0.2635568189253929,0.98610568165782,157.7983487703636
CellAI Tutorial,35%,A4,0.1899629281462584,0.9500446246124128,218.93130011965368
CellAI Tutorial,35%,B4,0.1928446458526232,0.9503781676596204,215.65976410555857
CellAI Tutorial,35%,C4,0.1794525907398673,0.9445781237868888,231.7538613520686
CellAI Tutorial,30%,A5,0.1880179207190498,0.9528438632114382,221.1961002150523
CellAI Tutorial,30%,B5,0.1840291520348387,0.943790840417582,225.99044973985156
CellAI Tutorial,30%,C5,0.1650027033640442,0.9569532227998748,252.0493906202227
CellAI Tutorial,25%,A6,0.2801536275136594,0.9865508100710446,148.45008862706578
CellAI Tutorial,25%,B6,0.2101247675011519,0.9314943982133372,197.92445854041804
CellAI Tutorial,25%,C6,0.1903840292179933,0.9327888263602522,218.44705674327707
CellAI Tutorial,20%,A7,0.2466968232352054,0.937060623993538,168.5827579301463
CellAI Tutorial,20%,B7,0.2464268027228047,0.9411966714401048,168.7674813537968
CellAI Tutorial,20%,C7,0.2282255475817801,0.9530829470533384,182.22688596549068
CellAI Tutorial,15%,A8,0.3098720572858024,0.9686340028071986,134.2129109603398
CellAI Tutorial,15%,B8,0.2936238099207816,0.9517699274030168,141.6398446870409
CellAI Tutorial,15%,C8,0.506566620181006,0.9660024154183816,82.09943011787124
CellAI Tutorial,10%,A9,0.4905581870741443,0.92877109054024,84.77858881868151
CellAI Tutorial,10%,B9,0.4750329982129386,0.9494941504763396,87.54935128728485
CellAI Tutorial,10%,C9,0.5066527961553252,0.9629183674113356,82.08546592299231
CellAI Tutorial,5%,A10,0.4862586475585908,0.9351394829274722,85.5282081715278
CellAI Tutorial,5%,B10,0.4964698339588076,0.9486710404019456,83.76909932668208
CellAI Tutorial,5%,C10,0.4767951047610578,0.9485357888829036,87.22579241755982
ViNatX Tutorial,50%,A2,0.0633848340970102,0.6380886911223772,656.1322030116092
ViNatX Tutorial,50%,A3,0.018862651566523,0.0558039104137121,2204.824209731341
ViNatX Tutorial,50%,A4,0.0560169326893174,0.3461576525892038,742.4332043358704
ViNatX Tutorial,30%,B2,0.277836686484405,0.954458599431686,149.6880464557768
ViNatX Tutorial,30%,B3,0.2384467829676279,0.9251462474734276,174.41556692858765
ViNatX Tutorial,30%,B4,0.1658301261110634,0.8965714204354804,250.7917699208823
ViNatX Tutorial,20%,C2,0.2466888862613486,0.8191754294605157,168.58818191564748
ViNatX Tutorial,20%,C3,0.3030015060170385,0.8567420599481211,137.2561852258849
ViNatX Tutorial,20%,C4,0.3017628509911217,0.8334144702792791,137.81958480641578
ViNatX Tutorial,15%,D2,0.4407583123626263,0.9118508323334822,94.35745093646749
ViNatX Tutorial,15%,D3,0.5508984127480738,0.958820487576422,75.49274035141451
ViNatX Tutorial,15%,D4,0.5450301314778455,0.9535678203445584,76.3055626316088
ViNatX Tutorial,10%,E2,0.6577947920525672,0.99348527822236,63.22462770467355
ViNatX Tutorial,10%,E3,0.6402244906399258,0.98259898467062,64.9597624608632
ViNatX Tutorial,10%,E4,0.6576737389109887,0.984312985973981,63.23626499434466
ViNatX Tutorial,5%,F2,0.6435829510657907,0.9748586190940004,64.62077773304046
ViNatX Tutorial,5%,F3,0.6033122839588507,0.9631075878106136,68.93416881999589
ViNatX Tutorial,5%,F4,0.5723719601941566,0.9631838224536906,72.66049654055242
CellAI Experiment,Semi-Def+Tryp+YE+MOPS (B2),B2,0.5674786166801871,0.9167887357124282,73.28704485271356
CellAI Experiment,Semi-Def+Tryp+YE+MOPS (B3),B3,0.5963131822398474,0.9351133596042662,69.74326926227327
CellAI Experiment,Semi-Def+Tryp+YE+MOPS (B4),B4,0.6210551972195643,0.9450376143336812,66.96478995713748
CellAI Experiment,HBDef+Tryp+YE+Glut (B5),B5,0.6316379452492348,0.9314636808914832,65.84283155627453
CellAI Experiment,HBDef+Tryp+YE+Glut (B6),B6,0.6304793138507212,0.9410498046597822,65.96383088223529
CellAI Experiment,HBDef+Tryp+YE+Glut (B7),B7,0.6417653169588754,0.9554971646337844,64.80379935561669
CellAI Experiment,LBv2+Gluc+KH2PO4+MOPS (B8),B8,0.5570493075038815,0.9716190335997062,74.65915543447099
CellAI Experiment,LBv2+Gluc+KH2PO4+MOPS (B9),B9,0.6651018951413096,0.9702272636632896,62.53001402854314
CellAI Experiment,LBv2+Gluc+KH2PO4+MOPS (B10),B10,0.6329018558092842,0.9744182265039082,65.7113428438562
CellAI Experiment,Novel Bio Cyclone (B11),B11,0.5206913618773388,0.928797383958612,79.87232721443524
ViNatX Experiment,Def-Min (A1),A1,0.7716751892421309,0.9957107638828506,53.89421794737432
ViNatX Experiment,Def-Min+Gluc (A2),A2,0.6550693388652364,0.9963636765973324,63.48767735891932
ViNatX Experiment,Def-Min+NaCl (A3),A3,0.5414445235290904,0.9801300462420408,76.81088094219545
ViNatX Experiment,Def-Min+Gluc+NaCl (A4),A4,0.6186698705333881,0.9965630260880568,67.22297757565077
ViNatX Experiment,Def-Min+MOPS (B1),B1,0.7082609157190518,0.9960529359211407,58.7196468287033
ViNatX Experiment,Def-Min+Gluc+MOPS (B2),B2,0.7064248457719485,0.995518301827156,58.87226515674199
ViNatX Experiment,Def-Min+MOPS+NaCl (B3),B3,0.7239543363620057,0.992482666657874,57.44675975364372
ViNatX Experiment,Def-Min+Gluc+MOPS+NaCl (B4),B4,0.6346961003113201,0.9906230866649084,65.52558116112151
ViNatX Experiment,NBxCyclone (C1),C1,0.6943576520761553,0.9306118935371728,59.89540218825927
ViNatX Experiment,LBv2 (C2),C2,0.7927855717057586,0.9630636957220934,52.45911671186715
ViNatX Experiment,Semi-Defined (C3),C3,0.6398039763455727,0.9285630770845774,65.00245758262315
ViNatX Experiment,Def-Glycerol (C4),C4,0.1864829462509034,0.8748300955150021,223.01680485914804
ViNatX Experiment R2,Def-Min+MOPS 20+Glutamate 20 (D1),D1,0.3658516559690853,0.9647304263476596,113.6767598425494
ViNatX Experiment R2,Def-Min+MOPS 20+Tryptone 20+YE 20 (D2),D2,0.6315416811930028,0.9658177630832988,65.85286778702249
ViNatX Experiment R2,Def-Min+MOPS 20+Tryptone 20+YE 10+Glutamate 10 (D3),D3,0.38217729752194046,0.9666355444405887,108.82077795635973
ViNatX Experiment R2,LBv2+MOPS 20+Glutamate 20 (D4),D4,0.7082924697619415,0.9781320914376509,58.71703090049059
ViNatX Experiment R2,LBv2+Glutamate 20 (E1),E1,0.7087481400102003,0.9590624152115793,58.679280390066594
ViNatX Experiment R2,HBDef+Tryptone 20+YE 20+Glutamate 10 (E2),E2,0.661450644450633,0.9760815162678934,62.875183783573554
ViNatX Experiment R2,LBv2+MOPS 20 (E3),E3,0.6616265336665856,0.9733113438647574,62.85846881490795
ViNatX Experiment R2,LBv2 (E4),E4,0.6374082747570363,0.9738122916263909,65.24676958335584
ViNatX Experiment R2,Def-Min+MOPS 10+Tryptone 26+Glutamate 10 (F1),F1,0.6179544666346282,0.9940368846163333,67.30080140060956
